STUDY_ID	SAMPLE_ID	CD274
blca_tcga	TCGA-BL-A13I-01	-0.3068
blca_tcga	TCGA-CF-A1HR-01	-0.3883
blca_tcga	TCGA-CF-A1HS-01	-0.0363
blca_tcga	TCGA-DK-A1A3-01	-0.3448
blca_tcga	TCGA-DK-A1A5-01	-0.2203
blca_tcga	TCGA-DK-A1A6-01	-0.0775
blca_tcga	TCGA-DK-A1A7-01	-0.3878
blca_tcga	TCGA-DK-A1AA-01	-0.3928
blca_tcga	TCGA-DK-A1AB-01	-0.164
blca_tcga	TCGA-DK-A1AC-01	2.312
blca_tcga	TCGA-DK-A1AD-01	-0.4043
blca_tcga	TCGA-DK-A1AE-01	-0.2809
blca_tcga	TCGA-DK-A1AF-01	-0.1201
blca_tcga	TCGA-DK-A1AG-01	-0.4139
blca_tcga	TCGA-BT-A20J-01	-0.1107
blca_tcga	TCGA-BT-A20N-01	-0.3812
blca_tcga	TCGA-BT-A20O-01	0.349
blca_tcga	TCGA-BT-A20P-01	-0.3991
blca_tcga	TCGA-BT-A20Q-01	-0.282
blca_tcga	TCGA-BT-A20T-01	-0.3623
blca_tcga	TCGA-BT-A20U-01	-0.3645
blca_tcga	TCGA-BT-A20V-01	1.7429
blca_tcga	TCGA-BT-A20W-01	-0.3592
blca_tcga	TCGA-BT-A20R-01	-0.3455
blca_tcga	TCGA-BT-A20X-01	-0.2957
blca_tcga	TCGA-CF-A27C-01	-0.3422
blca_tcga	TCGA-DK-A2I1-01	-0.394
blca_tcga	TCGA-DK-A2I2-01	-0.1396
blca_tcga	TCGA-G2-A2EC-01	-0.3779
blca_tcga	TCGA-G2-A2EJ-01	0.8752
blca_tcga	TCGA-G2-A2EO-01	-0.3194
blca_tcga	TCGA-G2-A2ES-01	0.2054
blca_tcga	TCGA-GD-A2C5-01	-0.3291
blca_tcga	TCGA-H4-A2HO-01	-0.4162
blca_tcga	TCGA-H4-A2HQ-01	-0.346
blca_tcga	TCGA-BT-A2LA-01	-0.4231
blca_tcga	TCGA-BT-A2LB-01	-0.2305
blca_tcga	TCGA-DK-A2HX-01	-0.3772
blca_tcga	TCGA-DK-A2I6-01	0.9044
blca_tcga	TCGA-G2-A2EF-01	2.9971
blca_tcga	TCGA-G2-A2EK-01	-0.3999
blca_tcga	TCGA-G2-A2EL-01	-0.3623
blca_tcga	TCGA-E5-A2PC-01	-0.3522
blca_tcga	TCGA-FD-A3B3-01	0.9968
blca_tcga	TCGA-FD-A3B4-01	0.1118
blca_tcga	TCGA-FT-A3EE-01	0.3451
blca_tcga	TCGA-HQ-A2OE-01	-0.1147
blca_tcga	TCGA-BT-A2LD-01	0.5175
blca_tcga	TCGA-CF-A3MG-01	-0.4045
blca_tcga	TCGA-CF-A3MH-01	-0.4229
blca_tcga	TCGA-CF-A3MI-01	-0.4146
blca_tcga	TCGA-DK-A3IL-01	-0.3956
